Type,Domain,Name,Description,Category,Keywords,Rating,Comments,Uid,Update Frequency,Time Period,Agency,Sub-Agency,High Value Dataset,Suggested by Public,Data.gov Catalog Type,Identifier,SoQL,Key Identifier,State,Data.gov ID
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Central Contractor Registration (CCR) FOIA Extract (Old) (Information-and-Communications/Central-Contractor-Registration-CCR-FOIA-Extract-O/6kx4-2cr3),This dataset lists all government contractors previously available under FOIA.,Information and Communications,"Vendor, Registration, Contractor, DUNS number",0,0,6kx4-2cr3, Real time,Since 1996,General Services Administration,Office of Governmentwide Policy,Y,Y,Raw Data Catalog,6kx4-2cr3,,,,1422
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,VitalStats (Births-Deaths-Marriages-and-Divorces/VitalStats/9pjb-fz35),Interactive online tool for creating and manipulating tables based on birth and perinatal (fetal and infant death) data files.  Tabulated data can be graphed or mapped within VitalStats or exported to Excel for further analysis.,"Births, Deaths, Marriages, and Divorces","infant mortality, perinatal mortality, birth certificate, birthweight, teen childbearing, maternal health, fertility, birth rates, stillbirth, maternal characteristics, pregnancy loss, fetal death, births, infant health, gestational age, community.health, fetal mortality",0,0,9pjb-fz35,Annual,Birth: 1990-2006nPerinatal Mortality: 2003-2005 (Fetal Death); 1995-2005 (Infant Death),Department of Health and Human Services,Centers for Disease Control and Prevention,N,Y,Tool Catalog,9pjb-fz35,,,,120
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Hospital Compare (Social-Insurance-and-Human-Services/Hospital-Compare/g4a8-s9zu),"The data that is used by the Hospital Compare tool can be downloaded for public use. This functionality is primarily used by health policy researchers and the media. The data provided includes process of care, mortality, and readmission quality measures. The collection period for the measures is generally 12 months. However, some measures may be based upon fewer than 12 months. Generally, the Hospital Compare quality measures are refreshed the third month of each quarter.",Social Insurance and Human Services,"hospital decisions, hospital quality measures, medicare patients hospital, hospital quality, doctor hospital, hospital mental, hospital stay, hospital health care, hospital, hospital outpatient, medicare covers hospitals, hospital rehab, hospital measures, hospital compare, community.health, hospital compare measures",0,0,g4a8-s9zu,Quarterly,2008-2009,Department of Health and Human Services,Centers for Medicare and Medicaid Services,N,N,Tool Catalog,g4a8-s9zu,,,,463
"<div class='typeBlist'><div class=""viewTypeCell"">Tabular</div></div>","<img alt=""Federated from data.medicare.gov"" src=""/api/domains/data.medicare.gov/icons/smallIcon"">",Home Health Care Facilities - Mid-Atlantic (http://data.medicare.gov/dataset/Home-Health-Care-Facilities-Mid-Atlantic/pifa-ksy6),"A list of all Mid-Atlantic Home Health Facilities that have been registered with Medicare. The list includes addresses, phone numbers, and quality measure ratings for each facility.",,"hhc, facilities, mid atlantic, midatlantic, mid-atlantic, quality, ratings, comparison, home health agencies",0,0,pifa-ksy6,,,,,,,,pifa-ksy6,,,,
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,2003 Federal Register in XML (Other/2003-Federal-Register-in-XML/4728-3pvw),"The Federal Register is the official daily publication for rules, proposed rules, and notices of Federal agencies and organizations, as well as executive orders and other presidential documents. Published by the Office of the Federal Register (OFR), National Archives and Records Administration (NARA), it is updated daily and is available Monday through Friday, except Federal holidays. Bulk data downloads of Federal Register files in XML format are available from 2000 to the present, by year, month, and day. n nThe current XML data set is not yet an official format of the Federal Register.  Only the PDF and Text versions have legal status as parts of the official online format of the Federal Register.  The XML-structured files are derived from SGML-tagged data and printing codes, which may produce anomalies in display. In addition, the XML data does not yet include image files. Users who require a higher level of assurance may wish to consult the official version of the Federal Register on FDsys.gov.  The FDsys data set includes digitally signed Federal Register PDF files, which may be relied upon as evidence in a court of law. See:  http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR",Other,"directives, Office of the Federal Register, presidential executive orders, regulations, guidelines, Government Printing Office, regs, proposed rules, meetings, GPO, presidential proclamations, NARA, Rules, FDsys, notices, rule makings, National Archives and Records Administration, OFR, XML, Federal Register",0,0,4728-3pvw,Daily,2003,National Archives and Records Administration,Office of the Federal Register,N,N,Raw Data Catalog,4728-3pvw,,,,951
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,NTIS Database (Science-and-Technology/NTIS-Database/uu8r-bq2r),"Titles within the NTIS Collection represent billions of dollars in research. This data from NTIS contains metadata corresponding to items added to the NTIS Collection over the past five years. Metadata content corresponds to research reports, computer products, software, video cassettes, audio cassettes and more. Data includes such fields as Title, Author, Source Agency, Document Type, Page Count, Category Code, as well as a link to NTIS' online ordering system for those who wish to purchase the title directly from NTIS. Users can also access the NTIS Website at www.ntis.gov to search, identify and purchase items within the NTIS Collection of more than 3,000,000 products.",Science and Technology,Bibliographic Data bases,0,0,uu8r-bq2r,Daily,Various,Department of Commerce,National Technical Information Service,Y,N,Raw Data Catalog,uu8r-bq2r,,,,1560
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Part B National Summary Data File (Health-and-Nutrition/Part-B-National-Summary-Data-File/ev4u-p35a),"The Medicare Part B National datasets are summarized by meaningful Health Care Common Procedure Coding/Current Procedural Terminology, (HCPC/CPT), code ranges.  Each dataset displays the allowed services, allowed charges and payment amounts by HCPC/CPT codes and prominent modifiers.   There is a readme file that provides additional information about the datasets.",Health and Nutrition,"Part B National Summary Data File, Part B Data, Part B Summary Data, community.health",0,0,ev4u-p35a,Annual,CY 2008,Department of Health and Human Services,Centers for Medicare and Medicaid Services,Y,N,Raw Data Catalog,ev4u-p35a,,,,1470
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,"Employment, Hours, and Earnings from the Current Employment Statistics survey (State and Metro Area) (Labor-Force-Employment-and-Earnings/Employment-Hours-and-Earnings-from-the-Current-Emp/uw54-4kn6)","Each month the Current Employment Statistics (CES) program surveys about 150,000 businesses and government agencies, representing approximately 390,000 individual worksites, in order to provide detailed industry data on employment, hours, and earnings of workers on nonfarm payrolls for all 50 States, the District of Columbia, Puerto Rico, the Virgin Islands, and over 300 metropolitan areas and divisions.","Labor Force, Employment, and Earnings","State and metropolitan area employment statistics (establishment survey), Experimental all employee hours and earnings series, by state, community.health",0,0,uw54-4kn6,Monthly,Employment and wages for the pay period including the 12th of the month,Department of Labor,US Bureau of Labor Statistics,N,Y,Raw Data Catalog,uw54-4kn6,,,,347
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Public Housing Physical Inspection Scores (Construction-and-Housing/Public-Housing-Physical-Inspection-Scores/52td-nciw),"HUD's Real Estate Assessment Center conducts physical inspections of properties that are owned, insured or subsidized by HUD, including public housing and multifamily assisted housing.   About 20,000 such inspections are conducted each year to ensure that assisted families have housing that is decent, safe, sanitary and in good repair.  The Physical Inspection Scores datasets provide a full historical view of the results of those inspections, providing point-in-time property scores.   Results are available for download as a comma-delimited dataset.  Separate datasets are available for public housing and for multifamily assisted properties.  The results represent the inspections conducted from 2001 through September 2009.  The datasets include property identifiers and location information.",Construction and Housing,"PHA, HUD, Public Housing, physical inspection, Multifamily Housing, housing quality, property assessment scores",0,0,52td-nciw,Daily,Annual,Department of Housing and Urban Development,,Y,N,Raw Data Catalog,52td-nciw,,,,1258
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Public Housing Agency (PHA) Inventory (Construction-and-Housing/Public-Housing-Agency-PHA-Inventory/3n2v-xk7d),"The dataset  contains current data on low rent and Section 8 units in PHA's administered by HUD.  The Section 8 Rental Voucher Program increases affordable housing choices for very low-income households by allowing families to choose privately owned rental housing.  Through the Section 8 Rental Voucher Program, the administering housing authority issues a voucher to an income-qualified household, which then finds a unit to rent. If the unit meets the Section 8 quality standards, the PHA then pays the landlord the amount equal to the difference between 30 percent of the tenant's adjusted income (or 10 percent of the gross income or the portion of welfare assistance designated for housing) and the PHA-determined payment standard for the area. The rent must be reasonable compared with similar unassisted units.",Construction and Housing,"PHA, Section 8, Public Housing Agency, low rent, HUD, Rental Voucher Program",20,0,3n2v-xk7d,Weekly,Quarterly,Department of Housing and Urban Development,,Y,N,Raw Data Catalog,3n2v-xk7d,,,,1464
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,2007-2008 County-to-County Migration Outflow (Population/2007-2008-County-to-County-Migration-Outflow/6pkc-zihy),Contains all county level out-migration flows in the U.S. between Calendar Year 2007-2008.,Population,"IRS, outflow, Statistics of Income, SOI, county, mover, nonmigrant, county-to-county, population, migration",0,0,6pkc-zihy,annual,Calendar Year 2007-2008,Department of the Treasury,Internal Revenue Service,N,N,Raw Data Catalog,6pkc-zihy,,,,1147
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Quick Stats (Agriculture/Quick-Stats/ddcm-63jr),"Quick Stats is the National Agricultural Statistics Service's online, self-service tool to access complete results from the 1997, 2002, and 2007 Censuses of Agriculture. The census collects data on all commodities produced on U.S. farms and ranches, as well as detailed information on expenses, income, and operator characteristics.",Agriculture,"women operators, green onions, cucumbers, Temples, lentils, cherries, pecans, cwt, seedlings, cauliflower, blackeyed peas, pelts, tame hay, Asian operators, blueberries, inventory, coffee, sod, farm demographics, broccoli, NAICS, escarole, plugs, herd, okra, trucks, CRP, hired farm labor, Chinese cabbage, goats, forage, mohair, Brussels sprouts, production contracts, oranges, celery, Commodity Credit Corporation loans, poultry, land in farms, turnips, prunes, harvesters, experimental farms, calves, research farms, popcorn, watercress, peas, foliage plants, herbs, lemons, kumquats, lambs, Farmable Wetlands, vegetable seeds, oats, turnip greens, feed purchased, pickles, Pacific Island operators, pluots, bananas, apples, tame blueberries, bee colonies, equipment, tenure, operation, maple syrup, nursery, macadamia nuts, almonds, American Indian Reservation farms, blackberries, emus, elk, noncitrus, alfalfa seed, English walnuts, quail, grapefruit, llamas, planted, tobacco, spinach, raspberries, number sold, hazelnuts, tangerines, soybeans, CCC, garlic, cabbage, storage capacity, Wetlands Reserve, flowering plants, nonirrigated, woody crops, ducks, rice, haylage, orchards, cotton, cattle, value of production, sweet corn, harvested, fescue seed, wild hay, tubers, wool, dry edible peas, cut flowers, squash, pistachios, government payments, carrots, rabbits, bushels, alpacas, snap beans, wild blueberries, currants, manure, pullets, loganberries, greenchop, idle, potatoes, alfalfa, tons, endive, proso millet, aquaculture, layers, pasture, grass seed, nursery stock, grapes, sales, citrus, sorghum, fertilizer, mushrooms, filberts, ginseng, white operators, garden plants, sugarcane, nectarines, plums, watermelons, pounds, rangeland, beef cow, honey, price, corn, bales, ponies, abandoned, wheat, kiwifruit, guavas, hogs, tractors, sheep, Conservation Reserve, agriculture, bulbs, greenhouse vegetables, dry edible beans, horseradish, farm income, corms, bell peppers, liners, nuts, acres, papayas, agri-tourism, spring wheat, woodland, irrigation, apricots, pigeons, figs, geese, dewberries, flaxseed, parsley, cranberries, cowpeas, Hispanic operators, chemicals, crop insurance, olives, contract labor, ryegrass seed, pheasants, pineapples, honeydew melon, chicory, organic, peaches, North American Industry Classification System, beets, broilers, utilities, meat goats, sugarbeets, donkeys, ag services, production expenses, farms, milk cow, bedding plants, berries, squab, artichokes, barley, lettuce, mint, field crops, farm operations, bison, other animals, ag land, horses, milk goats, property tax, African American operators, customwork, ewe, fruits, cantaloupes, hay balers, burros, conservation practices, landlord, land rents, land value, pears, silage, floriculture, sweet potatoes, Christmas trees, pigs, tangelos, mustard, walnuts, vines, operator characteristics, limes, pima cotton, chickens, cuttings, eggs, institutional farms, hops, winter wheat, turkeys, sunflower seed, greenhouse, cropland, radishes, sweet cherries, strawberries, tart cherries, machinery value, angora goats, persimmons, durum wheat, passion fruit, eggplant, kale, ostriches, greenhouse tomatoes, sugar, safflower, daikon, bull, short rotation, cotton pickers, pomegranates, Spanish operators, upland cotton, farm economics, mules, grazing, interest expense, native Hawaiian operators, mangoes, age, collards, melons, aquatic plants, tenant, avocados, onions, lima beans, vegetables, rhubarb, custom hauling, peppers, boysenberries, rhizomes, dates, deer, flower seeds, chile, primary occupation, black operators, asparagus, cash rents, hay, combines, chestnuts, mink, Latino operators, real estate, bees, peanuts, dairy products, tomatoes, fuels, Valencia oranges, pumpkins",0,0,ddcm-63jr,Quinquennial - Every 5 years,"1997, 2002, 2007",Department of Agriculture,National Agricultural Statistics Service,N,N,Tool Catalog,ddcm-63jr,,,,961
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,2004 Federal Register in XML (Other/2004-Federal-Register-in-XML/6hws-kdz2),"The Federal Register is the official daily publication for rules, proposed rules, and notices of Federal agencies and organizations, as well as executive orders and other presidential documents. Published by the Office of the Federal Register (OFR), National Archives and Records Administration (NARA), it is updated daily and is available Monday through Friday, except Federal holidays. Bulk data downloads of Federal Register files in XML format are available from 2000 to the present, by year, month, and day. n nThe current XML data set is not yet an official format of the Federal Register.  Only the PDF and Text versions have legal status as parts of the official online format of the Federal Register.  The XML-structured files are derived from SGML-tagged data and printing codes, which may produce anomalies in display. In addition, the XML data does not yet include image files. Users who require a higher level of assurance may wish to consult the official version of the Federal Register on FDsys.gov.  The FDsys data set includes digitally signed Federal Register PDF files, which may be relied upon as evidence in a court of law. See:  http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR",Other,"directives, Office of the Federal Register, presidential executive orders, regulations, guidelines, Government Printing Office, regs, proposed rules, meetings, GPO, presidential proclamations, NARA, Rules, FDsys, notices, rule makings, National Archives and Records Administration, OFR, XML, Federal Register",0,0,6hws-kdz2,Daily,2004,National Archives and Records Administration,Office of the Federal Register,N,N,Raw Data Catalog,6hws-kdz2,,,,950
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Public Budget Database - Budget Authority and offsetting receipts 1976-Current (Federal-Government-Finances-and-Employment/Public-Budget-Database-Budget-Authority-and-offset/p5fv-tiif),"This file contains historical budget authority and offsetting receipts for 1976 through the current budget year, as well as four years of projections. It can be used to reproduce many of the totals published in the Budget and examine unpublished details below the levels of aggregation published in the Budget.",Federal Government Finances and Employment,"Budget Authority, OMB, Budget, Budget Accounts, OMB Accounts",0,0,p5fv-tiif,annual,1976-2016,Executive Office of the President,Office of Management and Budget,Y,Y,Raw Data Catalog,p5fv-tiif,,,,401
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Africa: Conflicts Without Borders 2009 (Other/Africa-Conflicts-Without-Borders-2009/vwst-97ef),"Conflicts Without Borders, which visualizes conflict in Africa as sub-national and transnational areas of armed conflict, inter-communal strife, and political violence that occurred in the first seven months of 2009.  Areas of conflict were drawn around locations of reported conflict incidents in 2009, as well as around concentrations of internally displaced persons inside affected countries and cross-border rebel bases and refugee camps in neighboring countries.",Other,"refugees, armed conflict, piracy incidents, inter-communal strife, political violence, taregted attacks, displaced, Africa",0,0,vwst-97ef,semi-annual,years,Department of State,,N,N,Raw Data Catalog,vwst-97ef,,,,1200
"<div class='typeBlist'><div class=""viewTypeCell"">Tabular</div></div>",,Catalog of Federal Domestic Assistance (CFDA) (Old) (Old) (Old) (Old) (Information-and-Communications/Catalog-of-Federal-Domestic-Assistance-CFDA-Old-Ol/mwm2-x6y4),"The Catalog of Federal Domestic Assistance is a government-wide compendium of Federal programs, projects, services, and activities that provide assistance or benefits to the American public. It contains financial and nonfinancial assistance programs administered by departments and establishments of the Federal government. CFDA provides a full listing of all Federal programs available to State and local governments (including the District of Columbia); federally-recognized Indian tribal governments; Territories (and possessions) of the United States; domestic public, quasi- public, and private profit and nonprofit organizations and institutions; specialized groups; and individuals.",Information and Communications,"dissemination of technical information, direct loans, and equipment, catalog of federal domestic assistance, program descriptions, investigation of complaints, advisory services and counseling, formula grants, use of property, training, sale, direct payments with unrestricted use, federal domestic assistance, guaranteed/insured loans, project grants, cfda, direct payments for specified use, insurance, federal employment., exchange, provision of specialized services, federal assistance programs, facilities, or donation of property and goods",0,0,mwm2-x6y4,Weekly,Fiscal Year,General Services Administration,Office of Governmentwide Policy,Y,Y,Raw Data Catalog,mwm2-x6y4,,,,1423
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Next Generation Radar (NEXRAD) Locations (Geography-and-Environment/Next-Generation-Radar-NEXRAD-Locations/aa5v-8afd),"This geospatial rendering of weather radar sites gives access to an historical archive of Terminal Doppler Weather Radar data and is used primarily for research purposes. The archived data includes base data and derived products of the National Weather Service (NWS) Weather Surveillance Radar 88 Doppler (WSR-88D) next generation (NEXRAD) weather radar.  Weather radar detects the three meteorological base data quantities: reflectivity, mean radial velocity, and spectrum width.  From these quantities, computer processing generates numerous meteorological analysis products for forecasts, archiving and dissemination.  There are 159 operational  NEXRAD radar systems deployed throughout the United States and at selected overseas locations.  At the Radar Operations Center (ROC) in Norman OK, personnel from the NWS, Air Force, Navy, and FAA use this distributed weather radar system to collect the data needed to warn of impending severe weather and possible flash floods; support air traffic safety and assist in the management of air traffic flow control; facilitate resource protection at military bases; and optimize the management of water, agriculture, forest, and snow removal.  This data set is jointly owned by the National Oceanic and Atmospheric Administration, Federal Aviation Administration, and Department of Defense.",Geography and Environment,"spectrum, federal data download, rainrate, mean radial velocity, federal datasets, weather, radar, WSR-88D, precipitation, historical archive, tornado, reflectivity, flood, radar scans, NEXRAD, storm events, hurricane",0,0,aa5v-8afd,Between 4 and 10 minutes,1991 to present,Department of Commerce,National Oceanic and Atmospheric Administration,N,N,Raw Data Catalog,aa5v-8afd,,,,4
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,2002 Federal Register in XML (Other/2002-Federal-Register-in-XML/29xr-5w25),"The Federal Register is the official daily publication for rules, proposed rules, and notices of Federal agencies and organizations, as well as executive orders and other presidential documents. Published by the Office of the Federal Register (OFR), National Archives and Records Administration (NARA), it is updated daily and is available Monday through Friday, except Federal holidays. Bulk data downloads of Federal Register files in XML format are available from 2000 to the present, by year, month, and day.  The current XML data set is not yet an official format of the Federal Register.  Only the PDF and Text versions have legal status as parts of the official online format of the Federal Register.  The XML-structured files are derived from SGML-tagged data and printing codes, which may produce anomalies in display. In addition, the XML data does not yet include image files. Users who require a higher level of assurance may wish to consult the official version of the Federal Register on FDsys.gov.  The FDsys data set includes digitally signed Federal Register PDF files, which may be relied upon as evidence in a court of law. See:  http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR",Other,"directives, Office of the Federal Register, presidential executive orders, regulations, guidelines, Government Printing Office, regs, proposed rules, meetings, GPO, presidential proclamations, NARA, Rules, FDsys, notices, rule makings, National Archives and Records Administration, OFR, XML, Federal Register",0,0,29xr-5w25,Daily,2002,National Archives and Records Administration,Office of the Federal Register,N,N,Raw Data Catalog,29xr-5w25,,,,952
"<div class='typeBlist'><div class=""viewTypeCell"">Tabular</div></div>","<img alt=""Federated from data.medicare.gov"" src=""/api/domains/data.medicare.gov/icons/smallIcon"">",Dialysis Facility Compare - State and National Averages (http://data.medicare.gov/dataset/Dialysis-Facility-Compare-State-and-National-Avera/2fpu-cgbb),State and National averages of common dialysis quality measures.,,"dfc, dialysis, medicare, comparison, statistics, state list",0,0,2fpu-cgbb,,,,,,,,2fpu-cgbb,,,,
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,SSA Disability Claim Data (Social-Insurance-and-Human-Services/SSA-Disability-Claim-Data/wtum-mhb6),"The dataset includes fiscal year data for initial claims for SSA disability benefits that were referred to a state agency for a disability determination.  Specific data elements for each year and state include receipts, determinations, eligible population, and favorable determination rates.",Social Insurance and Human Services,"beneficiary population, allowances, allowance rate, SSA, DDS, decisions, filing rate, State Agency, favorable determination, eligible population, disability, initial disability claim, receipts, determinations",0,0,wtum-mhb6,Fiscal Year,FY 2001 - Present,Social Security Administration,,Y,N,Raw Data Catalog,wtum-mhb6,,,,1524
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Federal Student Loan Program Data (Education/Federal-Student-Loan-Program-Data/pnjr-b9tt),Provides recipient and disbursement information each quarter for the Direct Loan and Federal Family Education Loan Programs by postsecondary school.,Education,"FFEL, Student Loans, Direct Loan Program, university, DL, Title IV Programs, Federal Family Education Loan Program, college, Financial Aid, student financial assistance",0,0,pnjr-b9tt,Reports are updated quarterly.,2006-Present ,Department of Education,Federal Student Aid,N,Y,Tool Catalog,pnjr-b9tt,,,,990
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Reserve Personnel Trends by State (Population/Reserve-Personnel-Trends-by-State/cv3w-64yx),Number of Reserve/Guard by state (assigned unit),Population,"DC, Military, Demographic, Florida, Arkansas, Georgia, Personnel, Reserve, Arizona, Connecticut, State, Army, California, DoD, Colorado, Guam, American Samoa, Idah, Navy, Delaware, Air Force, Alaska, Hawaii, Alabama, District, Guard, Marine Corp, Services",0,0,cv3w-64yx,Nightly,Quarterly,Department of Defense,,Y,N,Raw Data Catalog,cv3w-64yx,,,,1611
"<div class='typeBlist'><div class=""viewTypeCell"">Tabular</div></div>","<img alt=""Federated from data.medicare.gov"" src=""/api/domains/data.medicare.gov/icons/smallIcon"">",Healthcare Associated Infections (http://data.medicare.gov/dataset/Healthcare-Associated-Infections/ihvx-zkyp),,,hospital compare,0,0,ihvx-zkyp,,,,,,,,ihvx-zkyp,,,,
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,2005 Toxics Release Inventory data for the District of Columbia (Geography-and-Environment/2005-Toxics-Release-Inventory-data-for-the-Distric/nyge-64ip),Toxics Release Inventory Data.  The Toxics Release Inventory (TRI) is a publicly available EPA database that contains information on toxic chemical releases and waste management activities reported annually by facilities in certain industries as well as federal facilities.,Geography and Environment,"TRI State Data, TRI Data, PBT, Toxic Release Inventory, NAICS, TRI Reporting, section 313, Toxics Release Inventory, TRI Preliminary Data, Chemicals, Toxics Release, pollution prevention, community, TRI, EPCRA, Form R, facilities, Hazardous, toxic chemical release inventory, TRI Report, Toxic Release, source reduction, Toxics, waste management, facility, TRI 2009 Data, 2009, industry, Chemical Pollution, Right to Know, toxic chemicals release inventory, Chemical Release, Chemical, EPCRA 313, industries, Form A, Toxic, community right to know",0,0,nyge-64ip,Annual,Calendar Year 2005,Environmental Protection Agency,,Y,N,Raw Data Catalog,nyge-64ip,,,,3731
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Storm Prediction Report (Geography-and-Environment/Storm-Prediction-Report/udiq-g75c),"The National Weather Service Storm Prediction Center (SPC) provides daily RSS feeds summarizing today's latest information about tornado and severe thunderstorm watches, mesoscale discussions, convective day 1-3 outlooks, and fire weather outlooks.  Although available to all, the data provided may be of particular value to weather professionals and students of meteorological sciences.",Geography and Environment,"funnel, wind reports, hail reports, severe weather, environment, warnings, watch and warning map, federal data download, fire weather outlooks, convective outlooks, thunderstorm, federal datasets, national, severe weather watches, National RADAR, tornao reports, alerts, tornado, storm reports, monitoring and forecasting severe weather, twister, watches, Product Archive",0,0,udiq-g75c,dependant on weather,dependant on weather,Department of Commerce,National Oceanic and Atmospheric Administration,N,N,Raw Data Catalog,udiq-g75c,,,,11
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,2005 Toxics Release Inventory data for the state of California (Geography-and-Environment/2005-Toxics-Release-Inventory-data-for-the-state-o/xciy-pz6i),Toxics Release Inventory Data.  The Toxics Release Inventory (TRI) is a publicly available EPA database that contains information on toxic chemical releases and waste management activities reported annually by facilities in certain industries as well as federal facilities.,Geography and Environment,"TRI State Data, TRI Data, PBT, Toxic Release Inventory, NAICS, TRI Reporting, section 313, Toxics Release Inventory, TRI Preliminary Data, Chemicals, Toxics Release, pollution prevention, community, TRI, EPCRA, Form R, facilities, Hazardous, toxic chemical release inventory, TRI Report, Toxic Release, source reduction, Toxics, waste management, facility, TRI 2009 Data, 2009, industry, Chemical Pollution, Right to Know, toxic chemicals release inventory, Chemical Release, Chemical, EPCRA 313, industries, Form A, Toxic, community right to know",0,0,xciy-pz6i,Annual,Calendar Year 2005,Environmental Protection Agency,,Y,N,Raw Data Catalog,xciy-pz6i,,,,3728
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Federal Register (Other/Federal-Register/k7h8-9baq),"The Federal Register is the official daily publication for rules, proposed rules, and notices of Federal agencies and organizations, as well as executive orders and other presidential documents. Published by the Office of the Federal Register (OFR), National Archives and Records Administration (NARA), it is updated daily and is available Monday through Friday, except Federal holidays. GPO's Federal Digital System (FDsys) contains Federal Register issues from 1994 to the present.  n nThe current XML data set is not yet an official format of the Federal Register.  Only the PDF and Text versions have legal status as parts of the official online format of the Federal Register.  The XML-structured files are derived from SGML-tagged data and printing codes, which may produce anomalies in display. In addition, the XML data does not yet include image files. Users who require a higher level of assurance may wish to consult the official version of the Federal Register on FDsys.gov.  The FDsys data set includes digitally signed Federal Register PDF files, which may be relied upon as evidence in a court of law. See:  http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR",Other,"National Archives and Records Administration (NARA), directives, regulations, guidelines, proposed rules, rules, meetings, Office of the Federal Register (OFR), notices, rule makings, presidential executive orders and proclamations",0,0,k7h8-9baq,Daily,1994 to present,National Archives and Records Administration,,N,N,Tool Catalog,k7h8-9baq,,,,101
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Geospatial display of current weather radar images (RIDGE Weather Radar) (Geography-and-Environment/Geospatial-display-of-current-weather-radar-images/ud96-4ufb),Provides GIS overlays for current weather radar results,Geography and Environment,"radar integrated display with geospatial elements, ridge radar, enhanced radar images, warning, geographic overlay, weather radar, doppler radar",0,0,ud96-4ufb,near real time,near real time,Department of Commerce,National Oceanic and Atmospheric Administration,N,Y,Raw Data Catalog,ud96-4ufb,,,,61
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,NSF Research Grant Funding Rates (Science-and-Technology/NSF-Research-Grant-Funding-Rates/za9v-7sy8),An XML file containing FY 2009 NSF funding rates for competitive research proposals by organizational unit.  The funding rate is calculated by dividing the number of awards by the number of awards and declines.,Science and Technology,"technology, award, funding action, Science and engineering research and education, funding rate, National Science Foundation, grant, science, proposal",0,0,za9v-7sy8,Annual,2009,National Science Foundation,,Y,Y,Raw Data Catalog,za9v-7sy8,,,,1598
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,2000 Small Area Health Insurance Estimates (SAHIE) (Population/2000-Small-Area-Health-Insurance-Estimates-SAHIE-/ag58-decp),The Census Bureau's Small Area Health Insurance Estimates (SAHIE) program produces estimates of health insurance coverage for states and all counties. These data are 2000 estimates of health insurance coverage by age at the state and county levels.,Population,"small area, model, health insurance, uninsured",0,0,ag58-decp,annual,2000,Department of Commerce,US Census Bureau,Y,Y,Tool Catalog,ag58-decp,,,,2070
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,ACToR: Aggregated Computational Toxicology Resource (Health-and-Nutrition/ACToR-Aggregated-Computational-Toxicology-Resource/huqm-3di4),"ACToR is a tool for searching a data warehouse containing data on chemicals of environmental concern, aggregated from several hundred publicly available sources, many developed by the U.S. government. Data has been extracted from a variety of non-compatible formats and compiled to allow look-across chemical-by-chemical or data source by data source. Data can be searched by a variety of chemical names and codes as well as by chemical structure.",Health and Nutrition,"chemical, compounds, toxic, chemicals, toxics, compound, chemistry, toxicology",0,0,huqm-3di4,Quarterly,NA,Environmental Protection Agency,,N,N,Tool Catalog,huqm-3di4,,,,452
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Recreation Information Database - RIDB (Geography-and-Environment/Recreation-Information-Database-RIDB/m8bg-wv5v),XML extractable listing of US Gov't Recreation sites,Geography and Environment,"bureau of land management, hiking, camping, recreation, us army corps of engineers, fish and wildlife, bureau of reclamation, national park service, forest service, visitor center",0,0,m8bg-wv5v,One-time,,Department of Agriculture,US Forest Service,N,N,Tool Catalog,m8bg-wv5v,,,,100
